INDEX,TR_GOOD,NUM_PHRASE_LINES,NUM_PHRASE_WORDS,WPM,DURATION_MS,BEGIN_TIME,BEGIN_TIME_MS,COMP_END_TIME,COMP_END_TIME_MS,END_TIME,END_TIME_MS,TOLERANCE,END_TRUNCATED
1,0,1,4,250,960,00:00:05.672,5672,00:00:06.632,6632,00:00:06.632,6632,1300,0
2,0,1,5,250,1200,00:00:08.775,8775,00:00:09.975,9975,00:00:09.975,9975,1300,0
3,0,1,6,250,1440,00:00:11.378,11378,00:00:12.818,12818,00:00:12.412,12412,1300,1
4,0,1,1,250,240,00:00:12.412,12412,00:00:12.652,12652,00:00:12.652,12652,1300,0
5,0,1,5,250,1200,00:00:17.117,17117,00:00:18.317,18317,00:00:18.317,18317,1300,0
6,0,1,2,250,480,00:00:20.254,20254,00:00:20.734,20734,00:00:20.734,20734,1300,0
7,0,1,6,250,1440,00:00:21.788,21788,00:00:23.228,23228,00:00:23.228,23228,1300,0
8,0,1,6,250,1440,00:00:23.357,23357,00:00:24.797,24797,00:00:24.797,24797,1300,0
9,0,1,6,250,1440,00:00:25.959,25959,00:00:27.399,27399,00:00:27.399,27399,1300,0
10,0,1,8,250,1920,00:00:28.061,28061,00:00:29.981,29981,00:00:29.630,29630,1300,1
11,0,1,1,250,240,00:00:29.630,29630,00:00:29.870,29870,00:00:29.870,29870,1300,0
12,0,1,6,250,1440,00:00:38.172,38172,00:00:39.612,39612,00:00:39.612,39612,1300,0
13,0,1,6,250,1440,00:00:39.940,39940,00:00:41.380,41380,00:00:41.380,41380,1300,0
14,0,1,5,250,1200,00:00:42.643,42643,00:00:43.843,43843,00:00:43.677,43677,1300,1
15,0,1,1,250,240,00:00:43.677,43677,00:00:43.917,43917,00:00:43.917,43917,1300,0
16,0,1,8,250,1920,00:00:44.711,44711,00:00:46.631,46631,00:00:45.746,45746,1300,1
17,0,1,4,250,960,00:00:45.746,45746,00:00:46.706,46706,00:00:46.706,46706,1300,0
18,0,1,7,250,1680,00:00:46.780,46780,00:00:48.460,48460,00:00:47.347,47347,1300,1
19,0,1,7,250,1680,00:00:47.347,47347,00:00:49.027,49027,00:00:48.348,48348,1300,1
20,0,1,5,250,1200,00:00:48.348,48348,00:00:49.548,49548,00:00:49.416,49416,1300,1
21,0,1,5,250,1200,00:00:49.416,49416,00:00:50.616,50616,00:00:50.450,50450,1300,1
22,0,1,6,250,1440,00:00:50.450,50450,00:00:51.890,51890,00:00:51.890,51890,1300,0
23,0,1,6,250,1440,00:00:52.019,52019,00:00:53.459,53459,00:00:53.053,53053,1300,1
24,0,1,6,250,1440,00:00:53.053,53053,00:00:54.493,54493,00:00:54.493,54493,1300,0
25,0,1,1,250,240,00:00:57.758,57758,00:00:57.998,57998,00:00:57.998,57998,1300,0
26,0,1,5,250,1200,00:01:02.596,62596,00:01:03.796,63796,00:01:03.796,63796,1300,0
27,0,1,4,250,960,00:01:07.167,67167,00:01:08.127,68127,00:01:08.127,68127,1300,0
28,0,1,7,250,1680,00:01:09.570,69570,00:01:11.250,71250,00:01:11.250,71250,1300,0
29,0,1,6,250,1440,00:01:11.338,71338,00:01:12.778,72778,00:01:12.778,72778,1300,0
30,0,1,8,250,1920,00:01:14.274,74274,00:01:16.194,76194,00:01:16.194,76194,1300,0
31,0,1,3,250,720,00:01:16.443,76443,00:01:17.163,77163,00:01:17.163,77163,1300,0
32,0,1,5,250,1200,00:01:17.211,77211,00:01:18.411,78411,00:01:18.411,78411,1300,0
33,0,1,8,250,1920,00:01:20.714,80714,00:01:22.634,82634,00:01:22.634,82634,1300,0
34,0,1,1,250,240,00:01:22.983,82983,00:01:23.223,83223,00:01:23.223,83223,1300,0
35,0,1,6,250,1440,00:01:23.317,83317,00:01:24.757,84757,00:01:24.757,84757,1300,0
36,0,1,3,250,720,00:01:25.085,85085,00:01:25.805,85805,00:01:25.805,85805,1300,0
37,0,1,5,250,1200,00:01:27.387,87387,00:01:28.587,88587,00:01:28.587,88587,1300,0
38,0,1,4,250,960,00:01:29.289,89289,00:01:30.249,90249,00:01:30.249,90249,1300,0
39,0,1,7,250,1680,00:01:30.324,90324,00:01:32.004,92004,00:01:32.004,92004,1300,0
40,0,1,1,250,240,00:01:32.159,92159,00:01:32.399,92399,00:01:32.399,92399,1300,0
41,0,1,5,250,1200,00:01:32.459,92459,00:01:33.659,93659,00:01:33.659,93659,1300,0
42,0,1,6,250,1440,00:01:36.864,96864,00:01:38.304,98304,00:01:38.304,98304,1300,0
43,0,1,8,250,1920,00:01:43.937,103937,00:01:45.857,105857,00:01:45.672,105672,1300,1
44,0,1,1,250,240,00:01:45.672,105672,00:01:45.912,105912,00:01:45.873,105873,1300,1
45,0,1,2,250,480,00:01:45.873,105873,00:01:46.353,106353,00:01:46.353,106353,1300,0
46,0,1,7,250,1680,00:01:46.907,106907,00:01:48.587,108587,00:01:48.587,108587,1300,0
47,0,1,7,250,1680,00:01:50.377,110377,00:01:52.057,112057,00:01:51.411,111411,1300,1
48,0,1,4,250,960,00:01:51.411,111411,00:01:52.371,112371,00:01:52.371,112371,1300,0
49,0,1,5,250,1200,00:01:53.380,113380,00:01:54.580,114580,00:01:54.580,114580,1300,0
50,0,1,8,250,1920,00:01:55.048,115048,00:01:56.968,116968,00:01:56.968,116968,1300,0
51,0,1,1,250,240,00:01:58.385,118385,00:01:58.625,118625,00:01:58.625,118625,1300,0
52,0,1,5,250,1200,00:01:58.719,118719,00:01:59.919,119919,00:01:59.919,119919,1300,0
53,0,1,5,250,1200,00:02:00.654,120654,00:02:01.854,121854,00:02:01.854,121854,1300,0
54,0,1,7,250,1680,00:02:02.689,122689,00:02:04.369,124369,00:02:04.369,124369,1300,0
55,0,1,7,250,1680,00:02:06.460,126460,00:02:08.140,128140,00:02:08.140,128140,1300,0
56,0,1,3,250,720,00:02:09.029,129029,00:02:09.749,129749,00:02:09.749,129749,1300,0
57,0,1,5,250,1200,00:02:11.031,131031,00:02:12.231,132231,00:02:11.932,131932,1300,1
58,0,1,7,250,1680,00:02:11.932,131932,00:02:13.612,133612,00:02:13.612,133612,1300,0
59,0,1,6,250,1440,00:02:14.535,134535,00:02:15.975,135975,00:02:15.975,135975,1300,0
